Zip_5,MedianHouseholdIncome
13310,98182.0
13313,36328.0
13315,65417.0
13318,78125.0
13323,82060.0
13324,80313.0
13325,66458.0
13326,70977.0
13327,61250.0
13328,95000.0
13332,74511.0
13335,54048.0
13338,58393.0
13340,69928.0
13348,77903.0
13350,62548.0
13360,117708.0
13361,100000.0
13364,77739.0
13368,60000.0
13413,91899.0
13417,56055.0
13418,113125.0
13424,90179.0
13431,83200.0
13436,74167.0
13439,63681.0
13450,62000.0
13459,64115.0
13464,55711.0
13476,63480.0
13483,113000.0
13488,61250.0
13492,84543.0
13493,60735.0
13501,49771.0
13614,36250.0
13616,47110.0
13634,90461.0
13640,92422.0
13642,47452.0
13654,71389.0
13655,69089.0
13656,62250.0
13661,83192.0
13668,78286.0
13670,32500.0
13680,73000.0
13681,46797.0
13685,85195.0
13696,55401.0
13730,61466.0
13736,64934.0
13743,56919.0
13744,63125.0
13746,58250.0
13751,154761.0
13778,67050.0
13782,51719.0
13786,50833.0
13795,56847.0
13796,63750.0
13804,58056.0
13812,74450.0
13820,66217.0
13830,62267.0
13834,52974.0
13842,78333.0
13844,66635.0
13856,48852.0
14005,94931.0
14012,72333.0
14024,73125.0
14026,86023.0
14028,73571.0
14034,61384.0
14042,50625.0
14047,76525.0
14057,88750.0
14063,55629.0
14066,69688.0
14072,107036.0
14098,73750.0
14101,70083.0
14111,79474.0
14113,95313.0
14145,87708.0
14150,70294.0
14171,70417.0
14203,48529.0
14206,46842.0
14207,38951.0
14208,46940.0
14209,49359.0
14210,51059.0
14211,34490.0
14215,43326.0
14219,75465.0
14221,101275.0
14222,83692.0
14223,83528.0
14225,65562.0
14228,72426.0
14418,53750.0
14420,69716.0
14423,80129.0
14425,92010.0
14432,69750.0
14441,68571.0
14454,66629.0
14456,74691.0
14467,88548.0
14476,92708.0
14477,93558.0
14478,93235.0
14480,54618.0
14482,77581.0
14485,79375.0
14489,67169.0
14507,74063.0
14511,54958.0
14513,61117.0
14516,71902.0
14521,59700.0
14522,80368.0
14539,121250.0
14559,91021.0
14585,40074.0
14586,122833.0
14604,63672.0
14609,61933.0
14611,29870.0
14614,63452.0
14618,122647.0
14620,59525.0
14624,86046.0
14625,107246.0
14708,73750.0
14709,51042.0
14714,102125.0
14719,61115.0
14721,53984.0
14723,63611.0
14728,62143.0
14736,90500.0
14748,45000.0
14752,92656.0
14753,44167.0
14767,62935.0
14769,60132.0
14772,78393.0
14787,47656.0
14805,54009.0
14810,48613.0
14814,105625.0
14819,53750.0
14822,64100.0
14824,60417.0
14826,69088.0
14837,68431.0
14838,70000.0
14847,72981.0
14855,71458.0
14861,60000.0
14865,50227.0
14867,67644.0
14871,76445.0
14889,62063.0
14891,57137.0
14895,59063.0
14897,64167.0
14903,66142.0
15004,58257.0
15010,70253.0
15012,61903.0
15020,73723.0
15035,64103.0
15047,42708.0
15053,104196.0
15057,112871.0
15059,68906.0
15060,53333.0
15062,51094.0
15067,53048.0
15082,112054.0
15101,110496.0
15116,90316.0
15133,66630.0
15136,62552.0
15139,89055.0
15140,34400.0
15201,86049.0
15204,54317.0
15209,80221.0
15210,50845.0
15213,31330.0
15219,32403.0
15221,55241.0
15227,73597.0
15233,71902.0
15234,75766.0
15235,62292.0
15237,108538.0
15238,124904.0
15239,101782.0
15243,111426.0
15312,74375.0
15323,77045.0
15324,41667.0
15327,68030.0
15332,68610.0
15333,79688.0
15334,93882.0
15337,67083.0
15340,94261.0
15341,83750.0
15346,47500.0
15348,33264.0
15357,83750.0
15410,113255.0
15411,65789.0
15412,37813.0
15419,44481.0
15424,48125.0
15429,53056.0
15430,62250.0
15431,57542.0
15436,51667.0
15438,50800.0
15442,54250.0
15445,52426.0
15451,39148.0
15470,78125.0
15473,66786.0
15474,50769.0
15478,71311.0
15482,40750.0
15486,66734.0
15538,61667.0
15540,69009.0
15541,61750.0
15550,53438.0
15551,71500.0
15554,62602.0
15558,69375.0
15601,75369.0
15626,67337.0
15628,60648.0
15635,31083.0
15640,80729.0
15655,29426.0
15656,68750.0
15666,64943.0
15670,78125.0
15672,70709.0
15678,47212.0
15679,67969.0
15689,73929.0
15696,66250.0
15697,59551.0
15711,44375.0
15715,54722.0
15716,31136.0
15730,63482.0
15745,63214.0
15746,39250.0
15748,65517.0
15753,53625.0
15756,45625.0
15764,58750.0
15821,48750.0
15827,72000.0
15828,35938.0
15834,47880.0
15864,61417.0
15870,58750.0
15901,27946.0
15904,65122.0
15909,59226.0
15923,52347.0
15925,55750.0
15931,62772.0
15943,51875.0
15951,38821.0
15953,37277.0
15956,52679.0
15962,56750.0
15963,59256.0
16025,75000.0
16027,70000.0
16036,59911.0
16048,57500.0
16049,63295.0
16051,80642.0
16055,89112.0
16056,73527.0
16059,100169.0
16102,52480.0
16105,67256.0
16112,79821.0
16115,70033.0
16121,39412.0
16125,56851.0
16131,62989.0
16143,88452.0
16150,61638.0
16154,70441.0
16156,68510.0
16157,56582.0
16159,70482.0
16161,43625.0
16201,70949.0
16224,77853.0
16226,61563.0
16239,50218.0
16240,59722.0
16242,54727.0
16248,62425.0
16311,73750.0
16327,70893.0
16329,68333.0
16332,40375.0
16333,44500.0
16341,60260.0
16353,54674.0
16371,55075.0
16402,54783.0
16415,105604.0
16416,72731.0
16420,47321.0
16423,73523.0
16424,56285.0
16428,77103.0
16434,57868.0
16436,44205.0
16503,29108.0
16504,51988.0
16506,84021.0
16507,34474.0
16509,68880.0
16510,64938.0
16511,71644.0
16601,55504.0
16621,68152.0
16623,58625.0
16624,60000.0
16627,51047.0
16637,55326.0
16639,72911.0
16650,58981.0
16652,67386.0
16661,57059.0
16662,70861.0
16664,75905.0
16667,64773.0
16673,69119.0
16674,61250.0
16686,65641.0
16695,75139.0
16726,73382.0
16748,56838.0
16801,62821.0
16803,71993.0
16822,70139.0
16823,75717.0
16827,115391.0
16832,36750.0
16835,57778.0
16838,57446.0
16839,80069.0
16840,54805.0
16860,73225.0
16870,118243.0
16871,55536.0
16876,68333.0
16877,79353.0
16881,60313.0
16882,54375.0
16901,66003.0
16911,103438.0
16929,61050.0
16938,73929.0
16942,50982.0
17003,87350.0
17007,114803.0
17016,70833.0
17021,60938.0
17022,79075.0
17028,66754.0
17029,64464.0
17034,51717.0
17035,48571.0
17040,76250.0
17042,76399.0
17043,66752.0
17046,59633.0
17049,66792.0
17059,62237.0
17060,69167.0
17061,57031.0
17070,91100.0
17073,93346.0
17075,74688.0
17081,74205.0
17086,65795.0
17109,70618.0
17110,79499.0
17111,84314.0
17113,60554.0
17214,58750.0
17224,117742.0
17239,63333.0
17241,75371.0
17244,74792.0
17254,135321.0
17255,61667.0
17268,69715.0
17302,76250.0
17307,80274.0
17316,91484.0
17321,113403.0
17349,111401.0
17353,99219.0
17360,88800.0
17401,41569.0
17402,77134.0
17403,72233.0
17404,75882.0
17407,117864.0
17501,74942.0
17502,73513.0
17516,108942.0
17520,86489.0
17560,63963.0
17579,82298.0
17602,71752.0
17702,70514.0
17721,72826.0
17727,46538.0
17728,77594.0
17748,59125.0
17750,142778.0
17763,51250.0
17774,70313.0
17776,71250.0
17801,57341.0
17812,61250.0
17813,68854.0
17815,66145.0
17823,73984.0
17830,76339.0
17837,80488.0
17841,57028.0
17842,61797.0
17845,63906.0
17855,85000.0
17862,50195.0
17868,72297.0
17872,44395.0
17878,76875.0
17887,16733.0
17925,68750.0
17936,82344.0
17945,25625.0
17948,45720.0
17949,62557.0
17952,62500.0
17953,72500.0
17963,74261.0
17965,58958.0
17974,109107.0
17978,59444.0
17980,69816.0
17981,70789.0
17983,69722.0
18013,76116.0
18014,75762.0
18020,122610.0
18031,107807.0
18032,79700.0
18037,82710.0
18052,69499.0
18055,90087.0
18062,107245.0
18064,102857.0
18069,125357.0
18070,72083.0
18072,79067.0
18076,87386.0
18081,113681.0
18083,108333.0
18214,78214.0
18220,44500.0
18222,102656.0
18230,75455.0
18246,158306.0
18252,61020.0
18324,69000.0
18332,100816.0
18334,100190.0
18343,79861.0
18346,53981.0
18354,82833.0
18407,57261.0
18411,96471.0
18415,87985.0
18417,58365.0
18428,75463.0
18430,64821.0
18431,55323.0
18434,60396.0
18435,97924.0
18437,41250.0
18438,59808.0
18445,50625.0
18452,58526.0
18463,110192.0
18469,64281.0
18470,71280.0
18505,52599.0
18510,52500.0
18603,55969.0
18610,64875.0
18614,57900.0
18618,73561.0
18619,67500.0
18624,116146.0
18630,84583.0
18632,84375.0
18640,57358.0
18641,74469.0
18643,61685.0
18655,68362.0
18656,74764.0
18660,85372.0
18701,32417.0
18704,62907.0
18709,38547.0
18810,57240.0
18814,42188.0
18817,66875.0
18828,54423.0
18830,70500.0
18832,53621.0
18837,67500.0
18840,59836.0
18847,56217.0
18848,57391.0
18853,67784.0
18902,164482.0
18912,223182.0
18914,148286.0
18917,75000.0
18920,145455.0
18929,174606.0
18930,123984.0
18942,99091.0
19013,39416.0
19015,84783.0
19025,183586.0
19030,92411.0
19034,164531.0
19040,109207.0
19041,147531.0
19044,96189.0
19070,81375.0
19083,120233.0
19086,143762.0
19114,76076.0
19120,51993.0
19121,36208.0
19122,57785.0
19127,99792.0
19133,31756.0
19134,41849.0
19136,65499.0
19140,33149.0
19145,70374.0
19152,57966.0
19153,53434.0
19301,157500.0
19310,87679.0
19312,199107.0
19317,154933.0
19341,122992.0
19363,104318.0
19365,92137.0
19380,122876.0
19401,68646.0
19405,78777.0
19428,116566.0
19440,101654.0
19444,153647.0
19468,106261.0
19472,111000.0
19501,80000.0
19505,96464.0
19507,105903.0
19533,94038.0
19541,103000.0
19544,120114.0
19560,76945.0
19565,80881.0
19602,38179.0
19706,77143.0
19806,86240.0
19901,63891.0
19939,86583.0
19943,77247.0
19946,76213.0
19953,71466.0
19954,61823.0
19955,50000.0
19960,66929.0
19967,89545.0
19971,103301.0
19973,62668.0
20005,111960.0
20017,101543.0
20018,92569.0
20019,57031.0
20037,98917.0
20112,191108.0
20119,137625.0
20120,149844.0
20121,133024.0
20130,90688.0
20132,180663.0
20141,181912.0
20152,191392.0
20155,154531.0
20170,157875.0
20175,168035.0
20184,50833.0
20198,81950.0
20601,120278.0
20617,113068.0
20623,132386.0
20624,99638.0
20625,161000.0
20634,117431.0
20637,149821.0
20701,81763.0
20712,68452.0
20714,88612.0
20733,132955.0
20736,159821.0
20740,81359.0
20743,76332.0
20751,122448.0
20754,173208.0
20762,91905.0
20769,170117.0
20817,240104.0
20837,191927.0
20841,184276.0
20842,166389.0
20852,121496.0
20866,134682.0
20871,177120.0
20874,109648.0
20877,86103.0
20886,98767.0
20895,169527.0
20899,23917.0
20902,111408.0
21001,81778.0
21009,117017.0
21014,113825.0
21036,170313.0
21046,126549.0
21047,154524.0
21050,123750.0
21082,144426.0
21085,107975.0
21087,124500.0
21090,124688.0
21104,199803.0
21114,136250.0
21117,100934.0
21122,121732.0
21131,187250.0
21133,84248.0
21144,132820.0
21158,108795.0
21161,99709.0
21204,98452.0
21205,38723.0
21208,90822.0
21211,81467.0
21214,82093.0
21218,58378.0
21226,79712.0
21228,107714.0
21402,85893.0
21532,60158.0
21545,59551.0
21550,65302.0
21562,53056.0
21601,81837.0
21612,113438.0
21617,117668.0
21631,69095.0
21638,130804.0
21649,58464.0
21668,80938.0
21673,72500.0
21675,23958.0
21677,112578.0
21678,70167.0
21679,116908.0
21703,105293.0
21711,91083.0
21714,208750.0
21727,92697.0
21734,58438.0
21757,98520.0
21783,96055.0
21817,53139.0
21822,51500.0
21824,87938.0
21840,120324.0
21866,81420.0
21871,52064.0
21872,114625.0
21903,77500.0
21912,65074.0
21913,95795.0
21914,57167.0
21915,97794.0
22003,134109.0
22033,134532.0
22044,100129.0
22124,216712.0
22151,160187.0
22152,159557.0
22180,181467.0
22181,212156.0
22192,122005.0
22205,192951.0
22206,136472.0
22209,110824.0
22301,188211.0
22305,109124.0
22306,95026.0
22310,160872.0
22312,105044.0
22406,124357.0
22448,99375.0
22469,70159.0
22509,28598.0
22529,80833.0
22542,89944.0
22553,131416.0
22567,99000.0
22578,80938.0
22610,78065.0
22611,117525.0
22620,112446.0
22639,81890.0
22640,99708.0
22644,74839.0
22654,72500.0
22660,74010.0
22701,93910.0
22713,83897.0
22715,100278.0
22716,136748.0
22718,83750.0
22719,79250.0
22728,107354.0
22735,71500.0
22747,103654.0
22802,62116.0
22821,81667.0
22827,67425.0
22831,51181.0
22841,75978.0
22843,99286.0
22846,110987.0
22850,88542.0
22851,57662.0
22911,121556.0
22920,100760.0
22923,108796.0
22935,103309.0
22938,95750.0
22939,81765.0
22959,110066.0
22960,79081.0
22967,69250.0
22972,202946.0
22974,108859.0
22980,63176.0
23024,96738.0
23025,48250.0
23027,88417.0
23059,153719.0
23063,100417.0
23065,76631.0
23072,71886.0
23079,61615.0
23093,67645.0
23109,69418.0
23114,108770.0
23116,139029.0
23119,66786.0
23120,166676.0
23123,65288.0
23148,78005.0
23163,49297.0
23176,73617.0
23181,94531.0
23219,62533.0
23222,58105.0
23228,65650.0
23238,97286.0
23315,72321.0
23320,81736.0
23321,98257.0
23323,105912.0
23337,84138.0
23347,84479.0
23413,44167.0
23415,41886.0
23427,40313.0
23430,103580.0
23433,151500.0
23436,194531.0
23452,77327.0
23453,90680.0
23462,69680.0
23503,62428.0
23513,66875.0
23523,37189.0
23601,71345.0
23602,72487.0
23605,52899.0
23661,66760.0
23704,44739.0
23801,81105.0
